idlocalidad,nombrelocalidad,provincia_idprovincia
527,Calamuchita,7
528,Calchin,7
529,"Calchin Oeste",7
530,Calmayo,7
531,"Camilo Aldao",7
532,Caminiaga,7
533,"Cañada de Luque",7
534,"Cañada de Machado",7
535,"Cañada de Rio Pinto",7
536,"Cañada del Sauce",7
537,Canals,7
538,"Candelaria Sud",7
539,"Capilla de Remedios",7
540,"Capilla de Siton",7
541,"Capilla del Carmen",7
542,"Capilla del Monte",7
543,Capital,7
544,"Capitan Gral B. O´Higgins",7
545,Carnerillo,7
546,Carrilobo,7
547,"Casa Grande",7
548,Cavanagh,7
549,"Cerro Colorado",7
550,Chaján,7
551,Chalacea,7
552,"Chañar Viejo",7
553,Chancaní,7
554,Charbonier,7
555,Charras,7
556,Chazón,7
557,Chilibroste,7
558,Chucul,7
559,Chuña,7
560,"Chuña Huasi",7
561,"Churqui Cañada",7
562,"Cienaga Del Coro",7
563,Cintra,7
564,"Col. Almada",7
565,"Col. Anita",7
566,"Col. Barge",7
567,"Col. Bismark",7
568,"Col. Bremen",7
569,"Col. Caroya",7
570,"Col. Italiana",7
571,"Col. Iturraspe",7
572,"Col. Las Cuatro Esquinas",7
573,"Col. Las Pichanas",7
574,"Col. Marina",7
575,"Col. Prosperidad",7
576,"Col. San Bartolome",7
577,"Col. San Pedro",7
578,"Col. Tirolesa",7
579,"Col. Vicente Aguero",7
580,"Col. Videla",7
581,"Col. Vignaud",7
582,"Col. Waltelina",7
583,Colazo,7
584,Comechingones,7
585,Conlara,7
586,Copacabana,7
587,7,7
588,"Coronel Baigorria",7
589,"Coronel Moldes",7
590,"Corral de Bustos",7
591,Corralito,7
592,Cosquín,7
593,"Costa Sacate",7
594,"Cruz Alta",7
595,"Cruz de Caña",7
596,"Cruz del Eje",7
597,"Cuesta Blanca",7
598,"Dean Funes",7
599,"Del Campillo",7
600,Despeñaderos,7
601,Devoto,7
602,"Diego de Rojas",7
603,"Dique Chico",7
604,"El Arañado",7
605,"El Brete",7
606,"El Chacho",7
607,"El Crispín",7
608,"El Fortín",7
609,"El Manzano",7
610,"El Rastreador",7
611,"El Rodeo",7
612,"El Tío",7
613,Elena,7
614,Embalse,7
615,Esquina,7
616,"Estación Gral. Paz",7
617,"Estación Juárez Celman",7
618,"Estancia de Guadalupe",7
619,"Estancia Vieja",7
620,Etruria,7
621,"Eufrasio Loza",7
622,"Falda del Carmen",7
623,Freyre,7
624,"Gral. Baldissera",7
625,"Gral. Cabrera",7
626,"Gral. Deheza",7
627,"Gral. Fotheringham",7
628,"Gral. Levalle",7
629,"Gral. Roca",7
630,"Guanaco Muerto",7
631,Guasapampa,7
632,Guatimozin,7
633,Gutenberg,7
634,Hernando,7
635,Huanchillas,7
636,"Huerta Grande",7
637,"Huinca Renanco",7
638,Idiazabal,7
639,Impira,7
640,Inriville,7
641,"Isla Verde",7
642,Italó,7
643,"James Craik",7
644,"Jesús María",7
645,Jovita,7
646,"Justiniano Posse",7
647,"Km 658",7
648,"L. V. Mansilla",7
649,"La Batea",7
650,"La Calera",7
651,"La Carlota",7
652,"La Carolina",7
653,"La Cautiva",7
654,"La Cesira",7
655,"La Cruz",7
656,"La Cumbre",7
657,"La Cumbrecita",7
658,"La Falda",7
659,"La Francia",7
660,"La Granja",7
661,"La Higuera",7
662,"La Laguna",7
663,"La Paisanita",7
664,"La Palestina",7
665,12,7
666,"La Paquita",7
667,"La Para",7
668,"La Paz",7
669,"La Playa",7
670,"La Playosa",7
671,"La Población",7
672,"La Posta",7
673,"La Puerta",7
674,"La Quinta",7
675,"La Rancherita",7
676,"La Rinconada",7
677,"La Serranita",7
678,"La Tordilla",7
679,Laborde,7
680,Laboulaye,7
681,"Laguna Larga",7
682,"Las Acequias",7
683,"Las Albahacas",7
684,"Las Arrias",7
685,"Las Bajadas",7
686,"Las Caleras",7
687,"Las Calles",7
688,"Las Cañadas",7
689,"Las Gramillas",7
690,"Las Higueras",7
691,"Las Isletillas",7
692,"Las Junturas",7
693,"Las Palmas",7
694,"Las Peñas",7
695,"Las Peñas Sud",7
696,"Las Perdices",7
697,"Las Playas",7
698,"Las Rabonas",7
699,"Las Saladas",7
700,"Las Tapias",7
701,"Las Varas",7
702,"Las Varillas",7
703,"Las Vertientes",7
704,Leguizamón,7
705,Leones,7
706,"Los Cedros",7
707,"Los Cerrillos",7
708,"Los Chañaritos (C.E)",7
709,"Los Chanaritos (R.S)",7
710,"Los Cisnes",7
711,"Los Cocos",7
712,"Los Cóndores",7
713,"Los Hornillos",7
714,"Los Hoyos",7
715,"Los Mistoles",7
716,"Los Molinos",7
717,"Los Pozos",7
718,"Los Reartes",7
719,"Los Surgentes",7
720,"Los Talares",7
721,"Los Zorros",7
722,Lozada,7
723,Luca,7
724,Luque,7
725,Luyaba,7
726,Malagueño,7
727,Malena,7
728,"Malvinas Argentinas",7
729,Manfredi,7
730,"Maquinista Gallini",7
731,"Marcos Juárez",7
732,Marull,7
733,Matorrales,7
734,Mattaldi,7
735,"Mayu Sumaj",7
736,"Media Naranja",7
737,Melo,7
738,Mendiolaza,7
739,"Mi Granja",7
740,"Mina Clavero",7
741,Miramar,7
742,Morrison,7
743,Morteros,7
744,"Mte. Buey",7
745,"Mte. Cristo",7
746,"Mte. De Los Gauchos",7
747,"Mte. Leña",7
748,"Mte. Maíz",7
749,"Mte. Ralo",7
750,"Nicolás Bruzone",7
751,Noetinger,7
752,Nono,7
753,"Nueva 7",7
754,"Obispo Trejo",7
755,Olaeta,7
756,Oliva,7
757,"Olivares San Nicolás",7
758,Onagolty,7
759,Oncativo,7
760,Ordoñez,7
761,"Pacheco De Melo",7
762,"Pampayasta N.",7
763,"Pampayasta S.",7
764,Panaholma,7
765,Pascanas,7
766,Pasco,7
767,"Paso del Durazno",7
768,"Paso Viejo",7
769,Pilar,7
770,Pincén,7
771,Piquillín,7
772,"Plaza de Mercedes",7
773,"Plaza Luxardo",7
774,Porteña,7
775,"Potrero de Garay",7
776,"Pozo del Molle",7
777,"Pozo Nuevo",7
778,"Pueblo Italiano",7
779,"Puesto de Castro",7
780,"Punta del Agua",7
781,"Quebracho Herrado",7
782,Quilino,7
783,"Rafael García",7
784,Ranqueles,7
785,"Rayo Cortado",7
786,Reducción,7
787,Rincón,7
788,"Río Bamba",7
789,"Río Ceballos",7
790,"Río Cuarto",7
791,"Río de Los Sauces",7
792,"Río Primero",7
793,"Río Segundo",7
794,"Río Tercero",7
795,Rosales,7
796,"Rosario del Saladillo",7
797,Sacanta,7
798,"Sagrada Familia",7
799,Saira,7
800,Saladillo,7
801,Saldán,7
802,Salsacate,7
803,Salsipuedes,7
804,Sampacho,7
805,"San Agustín",7
806,"San Antonio de Arredondo",7
807,"San Antonio de Litín",7
808,"San Basilio",7
809,"San Carlos Minas",7
810,"San Clemente",7
811,"San Esteban",7
812,"San Francisco",7
813,"San Ignacio",7
814,"San Javier",7
815,"San Jerónimo",7
816,"San Joaquín",7
817,"San José de La Dormida",7
818,"San José de Las Salinas",7
819,"San Lorenzo",7
820,"San Marcos Sierras",7
821,"San Marcos Sud",7
822,"San Pedro",7
823,"San Pedro N.",7
824,"San Roque",7
825,"San Vicente",7
826,"Santa Catalina",7
827,"Santa Elena",7
828,"Santa Eufemia",7
829,"Santa Maria",7
830,Sarmiento,7
831,"Saturnino M.Laspiur",7
832,"Sauce Arriba",7
833,"Sebastián Elcano",7
834,Seeber,7
835,"Segunda Usina",7
836,Serrano,7
837,Serrezuela,7
838,"Sgo. Temple",7
839,"Silvio Pellico",7
840,Simbolar,7
841,Sinsacate,7
842,"Sta. Rosa de Calamuchita",7
843,"Sta. Rosa de Río Primero",7
844,Suco,7
845,"Tala Cañada",7
846,"Tala Huasi",7
847,Talaini,7
848,Tancacha,7
849,Tanti,7
850,Ticino,7
851,Tinoco,7
852,"Tío Pujio",7
853,Toledo,7
854,"Toro Pujio",7
855,Tosno,7
856,Tosquita,7
857,Tránsito,7
858,Tuclame,7
859,Tutti,7
860,Ucacha,7
861,Unquillo,7
862,"Valle de Anisacate",7
863,"Valle Hermoso",7
864,"Vélez Sarfield",7
865,Viamonte,7
866,"Vicuña Mackenna",7
867,"Villa Allende",7
868,"Villa Amancay",7
869,"Villa Ascasubi",7
870,"Villa Candelaria N.",7
871,"Villa Carlos Paz",7
872,"Villa Cerro Azul",7
873,"Villa Ciudad de América",7
874,"Villa Ciudad Pque Los Reartes",7
875,"Villa Concepción del Tío",7
876,"Villa Cura Brochero",7
877,"Villa de Las Rosas",7
878,"Villa de María",7
879,"Villa de Pocho",7
880,"Villa de Soto",7
881,"Villa del Dique",7
882,"Villa del Prado",7
883,"Villa del Rosario",7
884,"Villa del Totoral",7
885,"Villa Dolores",7
886,"Villa El Chancay",7
887,"Villa Elisa",7
888,"Villa Flor Serrana",7
889,"Villa Fontana",7
890,"Villa Giardino",7
891,"Villa Gral. Belgrano",7
892,"Villa Gutierrez",7
893,"Villa Huidobro",7
894,"Villa La Bolsa",7
895,"Villa Los Aromos",7
896,"Villa Los Patos",7
897,"Villa María",7
898,"Villa Nueva",7
899,"Villa Pque. Santa Ana",7
900,"Villa Pque. Siquiman",7
901,"Villa Quillinzo",7
902,"Villa Rossi",7
903,"Villa Rumipal",7
904,"Villa San Esteban",7
905,"Villa San Isidro",7
906,"Villa 21",7
907,"Villa Sarmiento (G.R)",7
908,"Villa Sarmiento (S.A)",7
909,"Villa Tulumba",7
910,"Villa Valeria",7
911,"Villa Yacanto",7
912,Washington,7
913,"Wenceslao Escalante",7
914,"Ycho Cruz Sierras",7
915,Alvear,8
916,"Bella Vista",8
917,"Berón de Astrada",8
918,Bonpland,8
919,"Caá Cati",8
920,Capital,8
921,Chavarría,8
922,"Col. C. Pellegrini",8
923,"Col. Libertad",8
924,"Col. Liebig",8
925,"Col. Sta Rosa",8
926,Concepción,8
927,"Cruz de Los Milagros",8
928,Curuzú-Cuatiá,8
929,Empedrado,8
930,Esquina,8
931,"Estación Torrent",8
932,"Felipe Yofré",8
933,Garruchos,8
934,"Gdor. Agrónomo",8
935,"Gdor. Martínez",8
936,Goya,8
937,Guaviravi,8
938,Herlitzka,8
939,Ita-Ibate,8
940,Itatí,8
941,Ituzaingó,8
942,"José Rafael Gómez",8
943,"Juan Pujol",8
944,"La Cruz",8
945,Lavalle,8
946,"Lomas de Vallejos",8
947,Loreto,8
948,"Mariano I. Loza",8
949,Mburucuyá,8
950,Mercedes,8
951,Mocoretá,8
952,"Mte. Caseros",8
953,"Nueve de Julio",8
954,"Palmar Grande",8
955,"Parada Pucheta",8
956,"Paso de La Patria",8
957,"Paso de Los Libres",8
958,"Pedro R. Fernandez",8
959,Perugorría,8
960,"Pueblo Libertador",8
961,"Ramada Paso",8
962,Riachuelo,8
963,Saladas,8
964,"San Antonio",8
965,"San Carlos",8
966,"San Cosme",8
967,"San Lorenzo",8
968,"20 del Palmar",8
969,"San Miguel",8
970,"San Roque",8
971,"Santa Ana",8
972,"Santa Lucía",8
973,"Santo Tomé",8
974,Sauce,8
975,Tabay,8
976,Tapebicuá,8
977,Tatacua,8
978,Virasoro,8
979,Yapeyú,8
980,"Yataití Calle",8
981,Alarcón,9
982,Alcaraz,9
983,"Alcaraz N.",9
984,"Alcaraz S.",9
985,"Aldea Asunción",9
986,"Aldea Brasilera",9
987,"Aldea Elgenfeld",9
988,"Aldea Grapschental",9
989,"Aldea Ma. Luisa",9
990,"Aldea Protestante",9
991,"Aldea Salto",9
992,"Aldea San Antonio (G)",9
993,"Aldea San Antonio (P)",9
994,"Aldea 19",9
995,"Aldea San Miguel",9
996,"Aldea San Rafael",9
997,"Aldea Spatzenkutter",9
998,"Aldea Sta. María",9
999,"Aldea Sta. Rosa",9
1000,"Aldea Valle María",9
